T [K] - Wyniki	P [W] - Wyniki	T [K] - Krzywa dopasowania	P [W] - Krzywa dopasowania	
		2108,38	0,00222956	
		2109,38	0,00223376	
		2110,38	0,00223796	
		2111,38	0,00224218	
		2112,38	0,0022464	
		2113,38	0,00225062	
		2114,38	0,00225485	
		2115,38	0,00225909	
		2116,38	0,00226333	
		2117,38	0,00226758	
		2118,38	0,00227184	
		2119,38	0,0022761	
		2120,38	0,00228036	
		2121,38	0,00228464	
		2122,38	0,00228892	
		2123,38	0,0022932	
		2124,38	0,00229749	
		2125,38	0,00230179	
		2126,38	0,00230609	
		2127,38	0,0023104	
		2128,38	0,00231471	
		2129,38	0,00231904	
		2130,38	0,00232336	
		2131,38	0,00232769	
		2132,38	0,00233203	
		2133,38	0,00233638	
		2134,38	0,00234073	
		2135,38	0,00234509	
		2136,38	0,00234945	
		2137,38	0,00235382	
		2138,38	0,00235819	
		2139,38	0,00236258	
		2140,38	0,00236696	
		2141,38	0,00237136	
		2142,38	0,00237576	
		2143,38	0,00238016	
		2144,38	0,00238457	
		2145,38	0,00238899	
		2146,38	0,00239342	
		2147,38	0,00239785	
		2148,38	0,00240228	
		2149,38	0,00240673	
		2150,38	0,00241117	
		2151,38	0,00241563	
		2152,38	0,00242009	
		2153,38	0,00242456	
		2154,38	0,00242903	
		2155,38	0,00243351	
		2156,38	0,002438	
		2157,38	0,00244249	
		2158,38	0,00244699	
		2159,38	0,00245149	
		2160,38	0,002456	
		2161,38	0,00246052	
		2162,38	0,00246504	
		2163,38	0,00246957	
		2164,38	0,0024741	
		2165,38	0,00247864	
		2166,38	0,00248319	
		2167,38	0,00248775	
		2168,38	0,00249231	
		2169,38	0,00249687	
		2170,38	0,00250145	
		2171,38	0,00250602	
		2172,38	0,00251061	
		2173,38	0,0025152	
		2174,38	0,0025198	
		2175,38	0,0025244	
		2176,38	0,00252901	
		2177,38	0,00253363	
		2178,38	0,00253825	
		2179,38	0,00254288	
		2180,38	0,00254752	
		2181,38	0,00255216	
		2182,38	0,00255681	
		2183,38	0,00256146	
		2184,38	0,00256612	
		2185,38	0,00257079	
		2186,38	0,00257546	
		2187,38	0,00258014	
		2188,38	0,00258483	
		2189,38	0,00258952	
		2190,38	0,00259422	
		2191,38	0,00259893	
		2192,38	0,00260364	
		2193,38	0,00260836	
		2194,38	0,00261308	
		2195,38	0,00261781	
		2196,38	0,00262255	
		2197,38	0,00262729	
		2198,38	0,00263205	
		2199,38	0,0026368	
		2200,38	0,00264156	
		2201,38	0,00264633	
		2202,38	0,00265111	
		2203,38	0,00265589	
		2204,38	0,00266068	
		2205,38	0,00266548	
		2206,38	0,00267028	
		2207,38	0,00267509	
		2208,38	0,0026799	
